Symbol,Company,Suspended,Delisted,Close Price,Issued Shares,Net Income,Shareholders Equity,Market Cap,Market Cap %,EPS,P/E Ratio,Book Value,P/B Ratio
6015,AMERICANA,False,False,2.37,8423.633,1026.98,1631.75,19964.01,0.21,0.122,19.439,0.19,12.23
6016,BURGERIZZR,False,False,7.34,56.0,18.85,85.66,411.04,,0.337,21.805,1.52,4.79
6017,JAHEZ,False,False,12.31,209.836,-12.55,1319.2,2583.08,0.03,-0.06,,6.28,1.95
6018,SPORT CLUBS,False,False,8.44,114.4,49.09,285.71,965.54,0.01,0.429,19.668,2.49,3.37
6019,ALMASAR ALSHAMIL,False,False,25.52,102.401,159.97,1331.48,2613.27,0.03,1.562,16.336,13.0,1.96
4070,TAPRCO,False,False,21.36,22.921,-54.42,138.66,489.59,0.01,-2.374,,6.04,3.53
4071,ALARABIA,False,False,64.3,55.0,-283.06,1344.42,3536.5,0.04,-5.147,,24.44,2.63
4072,MBC GROUP,False,False,20.41,332.5,-70.74,4486.2,6786.33,0.07,-0.213,,13.49,1.51
4210,SRMG,False,False,62.1,80.0,-352.7,2780.96,4968.0,0.05,-4.409,,34.76,1.78
4003,EXTRA,False,False,66.0,80.0,526.05,1651.82,5280.0,0.05,6.576,10.037,20.64,3.19
4008,SACO,False,False,21.09,36.0,35.67,357.45,759.24,0.01,0.991,21.285,9.92,2.12
4050,SASCO,False,False,42.88,70.0,63.41,918.58,3001.6,0.03,0.906,47.336,13.12,3.26
4051,BAAZEEM,False,False,5.57,101.25,27.93,211.42,563.96,0.01,0.276,20.191,2.08,2.66
4190,JARIR,False,False,17.13,1200.0,1123.8,1686.4,20556.0,0.21,0.937,18.291,1.4,12.18
4191,ABO MOATI,False,False,40.72,20.0,23.37,249.9,814.4,0.01,1.169,34.848,12.49,3.25
4192,ALSAIF GALLERY,False,False,6.54,350.0,61.36,515.39,2289.0,0.02,0.175,37.304,1.47,4.44
4193,NICE ONE,False,False,12.02,115.5,-31.14,369.26,1388.31,0.01,-0.27,,3.19,3.75
4194,BUILD STATION,False,False,41.7,16.0,38.38,274.55,667.2,0.01,2.399,17.384,17.15,2.43
4200,ALDREES,False,False,119.7,100.0,456.0,1710.8,11970.0,0.12,4.56,26.25,17.1,6.99
4240,CENOMI RETAIL,False,False,17.8,114.766,,,2042.83,0.02,,,,
4001,A.OTHAIM MARKET,False,False,4.96,900.0,79.13,1072.5,4464.0,0.05,0.088,56.413,1.19,4.16
4006,FARM SUPERSTORES,False,False,12.35,45.0,24.08,723.7,555.75,0.01,0.535,23.079,16.08,0.76
4061,ANAAM HOLDING,False,False,12.05,31.5,-10.25,244.36,379.58,,-0.325,,7.75,1.55
4160,THIMAR,False,False,34.94,6.5,-9.95,5.22,227.11,,-1.531,,0.8,43.5
4161,BINDAWOOD,False,False,4.69,1143.0,268.83,1609.46,5360.67,0.06,0.235,19.94,1.4,3.33
4162,ALMUNAJEM,False,False,61.55,60.0,270.7,1161.75,3693.0,0.04,4.512,13.642,19.36,3.17
4163,ALDAWAA,False,False,39.08,85.0,182.53,1348.25,3321.8,0.03,2.147,18.198,15.86,2.46
4164,NAHDI,False,False,93.8,130.0,788.0,2511.7,12194.0,0.13,6.062,15.474,19.32,4.85
2050,SAVOLA GROUP,False,False,26.0,300.0,980.66,5360.51,7800.0,0.08,3.269,7.953,17.86,1.45
2100,WAFRAH,False,False,21.27,23.151,-69.06,157.73,492.42,0.01,-2.983,,6.81,3.12
2270,SADAFCO,False,False,204.7,32.5,403.88,1653.64,6652.75,0.07,12.427,16.472,50.88,4.02
2280,ALMARAI,False,False,48.3,1000.0,2445.91,20629.09,48300.0,0.5,2.446,19.747,20.62,2.34
2281,TANMIAH,False,False,64.0,20.0,-20.3,633.2,1280.0,0.01,-1.015,,31.66,2.02
2282,NAQI,False,False,56.3,20.0,3.99,285.96,1126.0,0.01,0.2,282.205,14.29,3.93
2283,FIRST MILLS,False,False,53.45,55.5,292.41,1115.52,2966.48,0.03,5.269,10.144,20.09,2.65
2284,MODERN MILLS,False,False,27.68,81.832,227.8,361.27,2265.11,0.02,2.784,9.943,4.41,6.26
2285,ARABIAN MILLS,False,False,42.46,51.315,263.42,1335.61,2178.83,0.02,5.133,8.271,26.02,1.63
2286,FOURTH MILLING,False,False,3.99,540.0,217.91,828.35,2154.6,0.02,0.404,9.887,1.53,2.6
2287,ENTAJ,False,False,23.45,30.0,-86.4,307.7,703.5,0.01,-2.88,,10.25,2.28
2288,NOFOTH,False,False,6.29,96.0,48.64,185.93,603.84,0.01,0.507,12.414,1.93,3.24
4080,SINAD HOLDING,False,False,8.37,126.388,-26.5,1023.1,1057.87,0.01,-0.21,,8.09,1.03
6001,HB,False,False,32.08,35.357,55.54,361.55,1134.25,0.01,1.571,20.422,10.22,3.13
6010,NADEC,False,False,15.0,301.64,332.93,4816.21,4524.6,0.05,1.104,13.59,15.96,0.93
